"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"35016 ANDRADINA";177188;178215;179174;180095;181006;181915;182796;183649;184516;185399;186275;187085;187902;188711;189521;190351;191153;191924;192695;193447;194182;194894
"35017 ARACATUBA";237751;240600;243267;245828;248361;250885;253338;255712;258119;260575;263007;265257;267528;269778;272031;274339;276562;278707;280849;282943;284984;286966
"35018 BIRIGUI";232278;235856;239206;242424;245606;248777;251858;254838;257862;260945;264001;266827;269680;272509;275337;278233;281028;283720;286413;289042;291604;294093
"35019 LINS";149453;151122;152684;154184;155667;157145;158583;159972;161381;162819;164244;165562;166891;168210;169529;170880;172181;173437;174694;175920;177114;178275
"35020 BAURU";523068;529022;534591;539941;545232;550502;555624;560584;565610;570734;575818;580516;585259;589961;594667;599482;604129;608607;613085;617458;621716;625854
"35021 JAU";316631;320965;325020;328916;332768;336609;340338;343950;347610;351344;355045;358467;361921;365345;368770;372279;375661;378923;382185;385368;388471;391484
"35022 AVARE";160856;163346;165674;167913;170123;172329;174470;176543;178648;180791;182917;184882;186865;188833;190800;192814;194757;196631;198502;200331;202112;203843
"35023 BOTUCATU";183641;186911;189970;192910;195817;198713;201525;204251;207013;209830;212621;215202;217809;220392;222979;225621;228174;230636;233096;235497;237837;240111
"35024 ARARAQUARA";455734;462396;468631;474614;480535;486436;492165;497716;503343;509076;514766;520024;525334;530597;535863;541250;546448;551460;556471;561366;566133;570762
"35025 SAO CARLOS";276809;281291;285486;289515;293500;297469;301326;305059;308846;312706;316534;320072;323646;327186;330731;334356;337855;341227;344599;347892;351099;354216
"35026 RIO CLARO";220897;224031;226963;229780;232566;235342;238038;240649;243296;245996;248671;251145;253643;256119;258596;261131;263577;265936;268293;270595;272838;275016
"35027 LIMEIRA";518616;527024;534893;542448;549924;557370;564605;571610;578712;585953;593133;599771;606473;613116;619762;626562;633128;639452;645779;651955;657972;663818
"35028 PIRACICABA";501839;509537;516741;523657;530501;537317;543940;550352;556854;563481;570055;576130;582265;588348;594433;600658;606669;612457;618249;623903;629410;634764
"35029 PIRASSUNUNGA";169104;171256;173269;175204;177116;179021;180873;182665;184483;186336;188173;189871;191587;193287;194988;196728;198407;200026;201646;203225;204766;206261
"35030 SAO JOAO DA BOA VISTA";402685;404600;406392;408113;409815;411513;413158;414757;416373;418023;419657;421170;422697;424211;425723;427269;428767;430208;431645;433052;434425;435755
"35031 MOJI MIRIM";345442;350752;355720;360492;365211;369915;374483;378907;383390;387965;392498;396689;400922;405115;409313;413607;417754;421748;425744;429645;433442;437135
"35032 CAMPINAS";2250187;2300604;2347792;2393106;2437927;2482581;2525962;2567970;2610560;2653983;2697039;2736839;2777028;2816865;2856722;2897504;2936871;2974799;3012738;3049775;3085855;3120911
"35033 AMPARO";164361;166511;168523;170453;172366;174269;176119;177909;179727;181577;183413;185110;186822;188521;190222;191961;193637;195254;196872;198452;199990;201485
"35034 DRACENA";110033;111052;112005;112922;113828;114733;115610;116457;117318;118196;119067;119871;120684;121490;122294;123120;123915;124684;125451;126198;126927;127636
"35035 ADAMANTINA";154305;155239;156116;156954;157786;158615;159420;160198;160989;161793;162592;163331;164077;164816;165553;166309;167042;167744;168448;169134;169804;170451
"35036 PRESIDENTE PRUDENTE";554215;558001;561542;564949;568310;571668;574929;578082;581280;584541;587774;590761;593783;596772;599768;602830;605786;608634;611482;614262;616976;619607
"35037 TUPA";110467;110699;110917;111128;111334;111539;111741;111934;112132;112333;112531;112715;112902;113084;113269;113459;113639;113814;113990;114159;114327;114489
"35038 MARILIA";315337;317959;320414;322771;325103;327428;329684;331870;334085;336345;338584;340656;342744;344818;346891;349014;351059;353036;355007;356935;358810;360637
"35039 ASSIS";251352;253512;255532;257473;259393;261305;263162;264963;266788;268646;270490;272195;273916;275622;277331;279077;280763;282385;284012;285597;287142;288645
"35040 OURINHOS";275663;278092;280368;282552;284711;286866;288955;290981;293035;295128;297202;299118;301058;302978;304901;306864;308762;310590;312419;314206;315943;317633
"35041 ITAPEVA";237148;238203;239192;240142;241080;242015;242922;243805;244695;245603;246507;247340;248182;249017;249853;250706;251531;252327;253119;253893;254651;255386
"35042 ITAPETININGA";166924;170252;173367;176358;179315;182263;185125;187898;190709;193576;196417;199045;201697;204326;206957;209648;212245;214750;217252;219698;222078;224393
"35043 TATUI";213865;219497;224769;229830;234837;239826;244672;249362;254121;258973;263782;268228;272718;277167;281619;286176;290573;294812;299048;303185;307215;311131
"35044 CAPAO BONITO";144567;143878;143233;142614;142001;141390;140797;140224;139641;139048;138459;137914;137366;136820;136278;135719;135181;134663;134144;133637;133146;132665
"35045 PIEDADE";181098;182552;183912;185218;186510;187799;189050;190259;191486;192741;193981;195129;196288;197436;198584;199760;200896;201988;203083;204149;205191;206201
"35046 SOROCABA";1145542;1169412;1191752;1213209;1234429;1255571;1276111;1295998;1316164;1336722;1357107;1375950;1394978;1413839;1432711;1452019;1470658;1488617;1506577;1524115;1541194;1557793
"35047 JUNDIAI";539698;552048;563602;574700;585679;596615;607239;617527;627958;638592;649138;658886;668728;678484;688246;698234;707875;717165;726456;735528;744363;752948
"35048 BRAGANCA PAULISTA";425568;435173;444160;452791;461331;469836;478099;486103;494215;502487;510687;518270;525924;533514;541106;548873;556371;563596;570823;577879;584752;591429
"35049 CAMPOS DO JORDAO";65735;66283;66797;67289;67776;68262;68734;69190;69653;70126;70594;71027;71464;71898;72330;72774;73202;73615;74027;74430;74821;75202
"35050 SAO JOSE DOS CAMPOS";1255706;1277707;1298299;1318072;1337630;1357117;1376048;1394381;1412964;1431913;1450702;1468069;1485607;1502992;1520384;1538180;1555358;1571911;1588465;1604628;1620372;1635670
"35051 GUARATINGUETA";380795;384343;387662;390850;394004;397148;400201;403157;406152;409208;412237;415037;417865;420669;423472;426342;429111;431782;434452;437056;439594;442060
"35052 BANANAL";25919;26034;26143;26245;26349;26451;26551;26647;26744;26844;26942;27032;27125;27217;27308;27401;27491;27578;27665;27749;27832;27913
"35053 PARAIBUNA/PARAITINGA";71771;71815;71856;71897;71935;71972;72012;72048;72085;72123;72160;72194;72230;72264;72299;72335;72368;72402;72435;72466;72499;72529
"35054 CARAGUATATUBA";228784;235562;241906;247998;254024;260027;265859;271507;277233;283071;288859;294210;299614;304968;310326;315810;321102;326202;331301;336281;341132;345844
"35055 REGISTRO";247417;247675;247918;248151;248381;248611;248836;249049;249269;249489;249712;249917;250123;250326;250531;250741;250945;251138;251332;251524;251708;251890
"35056 ITANHAEM";184676;189147;193329;197348;201321;205282;209127;212851;216628;220478;224295;227824;231387;234920;238454;242069;245559;248922;252286;255569;258770;261876
"35057 OSASCO";1627052;1648759;1669074;1688584;1707881;1727106;1745785;1763870;1782206;1800903;1819439;1836575;1853878;1871029;1888189;1905746;1922694;1939027;1955359;1971307;1986839;2001932
"35058 FRANCO DA ROCHA";380049;389629;398595;407206;415722;424208;432451;440433;448525;456776;464957;472520;480156;487726;495298;503048;510527;517735;524944;531982;538837;545499
"35059 GUARULHOS";1197243;1217998;1237422;1256075;1274526;1292908;1310765;1328058;1345590;1363465;1381189;1397573;1414116;1430516;1446923;1463711;1479915;1495529;1511146;1526392;1541244;1555676
"35060 ITAPECERICA DA SERRA";827161;847993;867488;886214;904733;923183;941109;958467;976063;994007;1011796;1028240;1044846;1061307;1077775;1094627;1110891;1126565;1142239;1157544;1172450;1186936
"35061 SAO PAULO";13023951;13151196;13270279;13384639;13497754;13610449;13719935;13825952;13933434;14043024;14151684;14252130;14353551;14454094;14554685;14657605;14756951;14852679;14948420;15041894;15132944;15221420
"35062 MOGI DAS CRUZES";1151745;1174056;1194936;1214986;1234819;1254581;1273775;1292365;1311212;1330426;1349477;1367088;1384871;1402502;1420137;1438182;1455602;1472388;1489173;1505563;1521528;1537041
"35063 SANTOS";1342498;1361168;1378643;1395422;1412020;1428557;1444621;1460177;1475948;1492027;1507972;1522712;1537592;1552345;1567103;1582206;1596785;1610831;1624879;1638595;1651955;1664936
"17001 BICO DO PAPAGAIO";179182;181418;183613;185828;187995;190164;192370;194471;196530;198581;200563;202335;204091;205786;207498;209242;210865;212490;214202;215893;217560;219201
"17002 ARAGUAINA";235816;240926;245941;250990;255950;260901;265943;270750;275446;280132;284660;288709;292722;296595;300504;304484;308201;311901;315817;319685;323491;327240
"17003 MIRACEMA DO TOCANTINS";139989;140547;141096;141648;142192;142735;143285;143813;144326;144838;145334;145778;146217;146640;147067;147503;147910;148316;148745;149165;149583;149994
"17004 RIO FORMOSO";105386;106755;108101;109454;110785;112111;113462;114750;116009;117266;118481;119568;120641;121680;122728;123795;124794;125783;126836;127871;128892;129898
"17005 GURUPI";125325;126875;128398;129930;131434;132938;134465;135925;137350;138773;140147;141375;142590;143768;144956;146162;147290;148413;149602;150776;151930;153069
"17006 PORTO NACIONAL";224874;235839;246605;257444;268090;278716;289534;299850;309933;319993;329710;338401;347009;355327;363720;372259;380236;388181;396590;404882;413057;421098
"17007 JALAPAO";64083;65063;66027;66997;67949;68900;69868;70790;71691;72591;73461;74240;75007;75755;76503;77266;77980;78692;79443;80184;80915;81635
"17008 DIANOPOLIS";115364;115916;116457;117002;117537;118071;118616;119132;119639;120142;120633;121072;121502;121923;122342;122771;123172;123574;123994;124410;124820;125228
"Total";173765726;176208646;178499255;180708344;182865043;184991143;187061610;189038268;191010274;192980905;194890682;196603732;198314934;200004188;201717541;203475683;205156587;206804741;208494900;210147125;211755692;213317639
