"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"23019 SERTAO DE QUIXERAMOBIM";241811;245418;248833;252054;255097;258130;261145;264047;266911;269724;272427;274200;275934;277607;279276;281063;282827;284543;286310;288042;289730;291371
"23020 SERTAO DE INHAMUNS";141796;142602;143368;144088;144768;145448;146121;146769;147412;148040;148644;149041;149429;149803;150174;150575;150971;151354;151749;152136;152513;152880
"23021 SERTAO DE SENADOR POMPEU";212076;213072;214023;214916;215756;216594;217434;218235;219031;219808;220559;221048;221529;221993;222454;222947;223439;223914;224405;224884;225351;225807
"23022 LITORAL DE ARACATI";98391;99982;101491;102911;104254;105591;106920;108200;109465;110707;111899;112681;113445;114184;114921;115707;116487;117243;118023;118788;119532;120255
"23023 BAIXO JAGUARIBE";294171;297189;300053;302749;305297;307836;310358;312787;315186;317541;319805;321293;322739;324141;325539;327035;328514;329950;331430;332877;334292;335665
"23024 MEDIO JAGUARIBE";63423;63486;63548;63604;63659;63713;63767;63818;63870;63920;63968;63999;64030;64059;64089;64121;64153;64182;64215;64245;64275;64305
"23025 SERRA DO PEREIRO";41510;41721;41922;42110;42289;42466;42643;42813;42982;43147;43305;43409;43511;43609;43707;43810;43915;44016;44119;44221;44319;44416
"23026 IGUATU";215209;216651;218015;219301;220516;221728;222931;224092;225235;226360;227439;228149;228841;229508;230176;230889;231594;232281;232986;233678;234352;235006
"23027 VARZEA ALEGRE";93481;94004;94501;94968;95412;95853;96290;96712;97128;97539;97931;98189;98439;98682;98925;99184;99441;99690;99947;100198;100445;100684
"23028 LAVRAS DA MANGABEIRA";57307;57360;57411;57459;57503;57548;57593;57634;57678;57720;57760;57787;57813;57838;57862;57888;57915;57940;57966;57992;58016;58041
"23029 CHAPADA DO ARARIPE";91764;92410;93023;93598;94143;94685;95225;95746;96260;96761;97246;97564;97874;98173;98472;98791;99107;99414;99732;100042;100343;100636
"23030 CARIRIACU";59018;59004;58993;58981;58969;58959;58947;58936;58926;58915;58904;58897;58890;58883;58878;58872;58866;58859;58852;58845;58840;58834
"23031 BARRO";88697;89212;89700;90159;90593;91026;91456;91871;92280;92682;93067;93320;93567;93806;94045;94300;94552;94797;95049;95296;95536;95771
"23032 CARIRI";479334;487022;494318;501182;507668;514136;520568;526755;532869;538868;544635;548418;552111;555682;559241;563052;566816;570476;574246;577939;581538;585036
"23033 BREJO SANTO";91781;92882;93930;94915;95844;96770;97692;98577;99454;100315;101141;101683;102211;102725;103234;103779;104318;104843;105385;105914;106430;106930
"53001 BRASILIA";2090538;2147631;2203724;2259183;2314130;2369135;2424473;2478904;2533036;2587342;2641247;2683144;2724348;2765696;2808040;2850959;2892607;2933497;2974703;3015268;3055149;3094325
"32001 BARRA DE SAO FRANCISCO";88668;88963;89242;89516;89785;90047;90300;90546;90797;91053;91304;91594;91886;92180;92480;92782;93073;93360;93654;93942;94226;94503
"32002 NOVA VENECIA";117932;118945;119903;120842;121763;122663;123532;124372;125233;126110;126974;127970;128973;129981;131006;132044;133042;134026;135034;136024;136996;137948
"32003 COLATINA";189953;191562;193084;194575;196042;197468;198852;200186;201553;202946;204319;205902;207493;209094;210727;212375;213960;215524;217123;218697;220242;221756
"32004 MONTANHA";52001;52408;52792;53169;53539;53901;54250;54587;54933;55285;55632;56032;56434;56839;57252;57669;58069;58463;58869;59267;59657;60039
"32005 SAO MATEUS";162508;165633;168590;171484;174331;177105;179788;182380;185036;187742;190408;193484;196572;199681;202851;206054;209131;212167;215277;218335;221335;224272
"32006 LINHARES";256358;262978;269247;275377;281411;287285;292971;298464;304092;309822;315473;321988;328536;335120;341840;348624;355143;361580;368167;374642;381001;387227
"32007 AFONSO CLAUDIO";127760;128584;129364;130127;130878;131609;132318;132998;133701;134414;135117;135929;136741;137561;138397;139243;140054;140855;141675;142481;143272;144047
"32008 SANTA TERESA";100603;101313;101985;102641;103287;103919;104528;105117;105719;106334;106939;107639;108340;109045;109765;110492;111191;111881;112587;113281;113963;114629
"32009 VITORIA";1370275;1396175;1420690;1444669;1468273;1491256;1513496;1534979;1556993;1579410;1601513;1627002;1652610;1678371;1704649;1731193;1756686;1781860;1807630;1832969;1857837;1882184
"32010 GUARAPARI";162852;165822;168633;171384;174091;176727;179277;181742;184265;186838;189372;192295;195232;198187;201201;204244;207168;210055;213010;215916;218768;221560
