"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"52012 ENTORNO DE BRASILIA";52;52;74;59;75;46;56;51;63;77;94;88;89;91;107;104;62;60;43;50;59;37;44;1533
"52013 SUDOESTE DE GOIAS";14;37;17;20;29;37;29;27;17;24;22;28;54;55;58;40;46;60;47;37;54;54;28;834
"52014 VALE DO RIO DOS BOIS";4;6;4;4;7;7;9;6;3;6;7;4;12;14;21;14;14;14;10;15;13;11;11;216
"52015 MEIA PONTE";38;27;18;24;22;31;37;24;30;33;21;27;22;41;55;37;34;42;16;20;35;19;26;679
"52016 PIRES DO RIO";3;4;2;3;5;6;4;-;2;3;8;7;9;6;7;14;13;10;9;8;14;7;7;151
"52017 CATALAO";2;7;3;8;-;3;5;4;7;4;16;9;20;10;14;21;10;11;15;8;17;14;13;221
"52018 QUIRINOPOLIS";7;5;4;11;10;1;2;2;3;2;8;11;7;11;21;14;14;7;15;3;12;10;15;195
"Ignorado - GO";7;-;-;-;-;-;2;-;1;3;2;1;1;5;3;1;3;3;-;4;-;-;-;36
"21001 LITORAL OCIDENTAL MARANHENSE";1;5;1;-;6;8;3;1;1;3;1;10;2;5;3;4;1;2;2;2;2;1;3;67
"21002 AGLOMERACAO URBANA DE SAO LUIS";26;25;11;11;10;22;16;16;18;18;38;39;36;20;17;10;13;29;9;8;8;10;12;422
"21003 ROSARIO";5;-;-;2;1;1;3;-;3;1;2;6;2;4;6;3;1;1;1;3;1;-;1;47
"21004 LENCOIS MARANHENSES";-;1;1;-;-;3;1;-;1;1;3;4;3;7;4;3;7;2;1;2;3;-;-;47
"21005 BAIXADA MARANHENSE";4;5;5;1;3;12;13;15;13;11;12;10;12;13;18;13;5;5;4;2;2;5;2;185
"21006 ITAPECURU MIRIM";2;2;3;-;-;2;5;6;2;4;3;6;4;7;8;3;4;1;3;-;1;5;-;71
"21007 GURUPI";-;-;2;3;3;1;5;2;4;5;2;4;7;9;4;5;7;1;3;2;2;-;2;73
"21008 PINDARE";5;19;25;32;31;36;15;33;33;38;35;38;44;41;32;22;19;19;11;10;9;10;20;577
"21009 IMPERATRIZ";3;12;20;36;31;20;41;29;19;20;32;31;32;19;36;30;31;22;18;16;13;16;18;545
"21010 MEDIO MEARIM";6;9;9;6;6;1;2;7;10;5;7;5;9;7;11;11;13;5;12;7;7;5;7;167
"21011 ALTO MEARIM E GRAJAU";-;4;5;5;9;6;2;4;18;16;15;6;11;11;12;15;15;9;8;7;7;4;7;196
"21012 PRESIDENTE DUTRA";6;10;8;6;3;5;6;3;6;4;9;6;17;7;15;9;10;17;2;2;4;2;6;163
"21013 BAIXO PARNAIBA MARANHENSE";13;-;-;1;-;1;-;1;1;-;1;1;5;3;2;-;1;1;-;-;-;-;-;31
"21014 CHAPADINHA";2;3;1;1;1;3;4;1;1;-;2;-;4;5;2;5;2;1;3;1;3;1;7;53
"21015 CODO";2;3;4;2;4;7;-;2;7;2;5;14;7;7;10;9;7;1;2;1;2;4;6;108
"21016 COELHO NETO";-;-;1;-;-;-;-;1;-;-;1;1;2;1;2;3;1;2;2;1;-;-;2;20
"21017 CAXIAS";3;1;4;4;2;5;-;6;8;5;7;11;8;11;9;11;5;9;7;6;8;9;10;149
"21018 CHAPADAS DO ALTO ITAPECURU";6;4;3;6;6;4;3;3;2;10;6;11;9;10;17;12;4;7;7;13;2;7;2;154
"21019 PORTO FRANCO";1;2;5;5;7;4;6;2;3;8;8;6;7;1;5;1;3;1;2;3;1;2;5;88
"21020 GERAIS DE BALSAS";2;6;3;7;2;3;4;4;10;13;9;5;5;7;14;8;7;6;6;6;2;4;4;137
"21021 CHAPADAS DAS MANGABEIRAS";1;2;1;1;2;2;1;2;7;4;3;3;2;7;1;1;5;-;3;2;4;2;1;57
"Ignorado - MA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31001 UNAI";7;9;17;3;5;6;6;2;5;9;6;9;17;14;15;13;15;14;12;21;12;15;12;244
"31002 PARACATU";4;9;7;8;10;6;7;3;5;2;7;9;18;28;30;11;25;18;29;31;20;24;22;333
"31003 JANUARIA";2;2;4;4;3;5;1;1;8;9;12;9;15;22;10;20;17;23;5;11;13;10;10;216
"31004 JANAUBA";2;3;5;8;10;6;11;15;16;18;24;31;36;35;41;56;36;31;22;22;25;43;30;526
"31005 SALINAS";9;5;11;11;3;15;25;9;21;17;19;33;25;42;31;34;22;35;18;15;27;21;29;477
"31006 PIRAPORA";6;3;5;8;8;3;1;2;4;9;17;10;24;29;24;20;12;13;9;11;15;10;10;253
"31007 MONTES CLAROS";4;10;11;9;14;18;20;15;22;47;75;67;67;75;97;106;67;69;47;46;71;55;62;1074
"31008 GRAO MOGOL";1;4;-;3;2;2;1;1;8;11;9;4;2;8;7;8;8;6;3;4;9;8;4;113
"31009 BOCAIUVA";-;3;4;-;4;3;9;4;10;4;13;14;8;11;20;10;16;8;6;7;6;13;10;183
"31010 DIAMANTINA";-;1;1;-;-;1;-;2;1;5;4;7;8;6;3;4;10;6;3;7;3;6;3;81
"31011 CAPELINHA";-;2;1;1;2;3;5;5;4;6;3;12;3;3;6;5;12;13;4;10;3;4;8;115
"31012 ARACUAI";2;2;-;3;6;4;7;1;3;8;7;9;9;18;18;15;12;7;5;14;7;6;15;178
"31013 PEDRA AZUL";8;2;18;6;14;11;8;4;7;3;11;3;14;12;12;8;14;11;4;13;8;8;5;204
"31014 ALMENARA";1;1;-;1;-;3;3;3;8;7;8;6;13;5;12;15;15;13;6;14;8;9;10;161
"31015 TEOFILO OTONI";-;8;17;12;7;10;15;12;5;18;24;19;12;23;22;13;14;15;11;8;11;8;13;297
"31016 NANUQUE";1;1;5;2;1;3;4;7;5;12;4;19;13;13;8;6;7;6;11;6;6;6;1;147
"31017 ITUIUTABA";10;6;10;7;15;12;13;27;26;26;16;22;29;14;8;16;12;19;12;8;7;14;5;334
"31018 UBERLANDIA";10;13;25;32;55;50;32;43;58;55;69;68;57;53;56;92;96;73;88;89;55;60;63;1292
"31019 PATROCINIO";9;9;16;19;18;16;6;16;21;23;23;32;33;21;19;18;21;37;19;34;21;24;14;469
"31020 PATOS DE MINAS";14;14;10;6;7;11;2;3;5;8;10;15;18;21;18;21;24;49;23;29;25;20;32;385
"31021 FRUTAL";13;9;13;20;11;6;4;7;24;22;21;36;30;29;35;27;24;22;14;20;18;14;24;443
"31022 UBERABA";5;5;6;6;4;3;5;10;8;20;24;31;30;21;11;16;18;35;15;17;21;11;11;333
"31023 ARAXA";9;15;17;19;6;2;5;15;8;13;19;25;33;19;31;27;27;27;18;18;16;18;20;407
"31024 TRES MARIAS";1;4;1;8;16;12;14;10;8;2;5;19;16;20;20;14;10;5;8;16;7;10;8;234
"31025 CURVELO";1;2;4;15;27;12;25;14;7;4;4;17;34;29;25;29;23;18;24;17;16;17;16;380
"31026 BOM DESPACHO";15;15;14;11;10;8;6;8;13;16;14;13;24;15;19;11;18;37;26;16;21;23;14;367
"31027 SETE LAGOAS";1;2;7;10;24;11;15;15;7;11;22;26;31;32;38;31;30;26;19;24;17;30;25;454
"31028 CONCEICAO DO MATO DENTRO";-;-;-;-;1;1;2;-;-;-;1;8;-;2;4;3;1;1;3;7;1;1;2;38
"31029 PARA DE MINAS";7;10;10;10;7;8;6;10;5;11;13;17;16;16;13;12;10;9;5;11;12;12;8;238
"31030 BELO HORIZONTE";72;113;140;121;127;124;205;195;183;189;220;216;192;227;248;185;167;166;131;133;108;125;119;3706
"31031 ITABIRA";17;22;21;19;23;34;24;7;14;10;24;17;18;35;26;19;23;14;6;18;18;10;9;428
"31032 ITAGUARA";1;-;2;2;4;-;2;3;2;1;4;6;2;2;1;1;2;6;5;1;7;3;2;59
"31033 OURO PRETO";8;5;1;14;9;5;7;1;2;11;2;18;5;9;10;6;9;11;9;5;7;8;5;167
"31034 CONSELHEIRO LAFAIETE";6;6;8;27;27;30;36;43;34;22;34;31;24;24;33;26;24;21;8;12;14;20;13;523
"31035 GUANHAES";1;2;4;3;13;2;10;-;-;4;-;5;5;5;1;1;3;4;7;3;3;2;3;81
"31036 PECANHA";2;-;-;2;1;3;1;2;1;3;3;5;1;3;3;2;-;4;5;2;-;1;1;45
"31037 GOVERNADOR VALADARES";8;8;14;23;16;23;28;30;28;21;27;24;12;29;31;17;13;9;23;22;21;13;9;449
"31038 MANTENA";1;1;4;5;2;1;4;6;2;2;2;1;1;4;3;4;2;8;2;-;3;3;2;63
"31039 IPATINGA";26;30;17;22;14;16;15;17;28;30;41;31;28;19;8;13;17;22;17;10;17;18;16;472
"31040 CARATINGA";13;20;14;13;29;13;14;29;29;32;37;23;14;26;24;27;12;19;19;15;16;11;20;469
"31041 AIMORES";6;5;14;11;11;6;7;14;5;15;9;7;18;10;11;3;10;13;2;7;1;10;3;198
"31042 PIUI";2;5;2;6;5;3;3;5;6;10;8;9;17;12;14;7;4;21;11;4;6;11;6;177
"31043 DIVINOPOLIS";18;29;28;36;36;30;38;30;23;35;52;59;44;59;54;41;50;36;37;36;39;55;44;909
"31044 FORMIGA";3;3;8;6;6;6;10;11;13;21;11;17;18;11;15;8;11;27;29;16;12;13;24;299
"31045 CAMPO BELO";1;2;8;10;10;4;5;10;11;7;11;14;13;7;11;9;13;11;14;14;9;12;3;209
"31046 OLIVEIRA";5;5;2;6;4;6;4;5;10;8;5;6;11;7;7;3;10;15;7;8;13;6;10;163
"31047 PASSOS";4;18;4;22;16;23;23;22;21;15;12;27;29;18;21;9;16;14;22;18;15;11;12;392
"31048 SAO SEBASTIAO DO PARAISO";9;5;14;15;19;22;29;15;37;34;24;27;32;33;23;21;20;18;16;21;19;15;18;486
"31049 ALFENAS";2;13;13;15;8;13;24;43;21;27;32;43;53;18;28;25;30;17;15;19;13;17;9;498
"31050 VARGINHA";11;19;33;30;24;27;33;49;51;46;46;53;40;49;42;55;46;32;33;28;27;29;36;839
"31051 POCOS DE CALDAS";15;15;16;19;13;18;22;15;30;23;30;28;22;24;24;23;22;29;23;22;19;19;15;486
"31052 POUSO ALEGRE";24;33;44;25;27;22;39;20;23;47;35;28;43;34;17;16;27;40;22;11;12;12;19;620
"31053 SANTA RITA DO SAPUCAI";6;7;26;7;9;8;11;8;26;25;23;13;11;19;12;9;8;13;6;10;11;2;6;276
"31054 SAO LOURENCO";-;11;14;12;21;22;17;15;21;27;23;24;13;18;30;19;19;14;13;26;9;17;19;404
"31055 ANDRELANDIA";1;3;6;-;3;6;7;4;6;4;8;16;6;8;14;8;3;11;11;7;8;9;5;154
"31056 ITAJUBA";7;3;6;14;5;7;13;13;6;18;26;23;16;21;16;11;7;5;12;10;7;10;4;260
"31057 LAVRAS";2;7;5;2;5;6;6;12;7;5;9;8;13;15;22;14;8;7;12;15;7;5;6;198
"31058 SAO JOAO DEL REI";2;-;2;2;2;6;-;7;12;7;7;17;30;21;26;10;16;13;10;7;3;11;6;217
