"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"21005 BAIXADA MARANHENSE";-;1;-;-;-;-;-;-;-;-;2;-;-;2;-;-;2;-;-;1;-;-;-;8
"21006 ITAPECURU MIRIM";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;4
"21007 GURUPI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"21008 PINDARE";-;2;1;1;3;-;-;2;1;2;1;1;2;1;1;1;-;1;-;-;3;1;-;24
"21009 IMPERATRIZ";3;-;1;2;5;-;1;-;-;2;-;1;2;-;-;2;1;6;1;2;-;-;1;30
"21010 MEDIO MEARIM";-;-;2;-;5;-;-;-;1;-;-;1;-;-;1;-;1;-;2;-;-;-;-;13
"21011 ALTO MEARIM E GRAJAU";1;-;-;3;2;1;2;2;1;-;3;1;2;-;1;1;4;-;-;-;1;4;1;30
"21012 PRESIDENTE DUTRA";-;-;-;2;-;-;-;1;-;1;-;2;-;1;-;-;1;-;1;-;-;-;1;10
"21013 BAIXO PARNAIBA MARANHENSE";-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;1;-;-;-;6
"21014 CHAPADINHA";-;-;-;-;3;-;1;-;-;6;-;-;2;-;-;-;-;-;1;-;-;-;-;13
"21015 CODO";-;-;-;-;5;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;8
"21016 COELHO NETO";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"21017 CAXIAS";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;1;-;-;-;-;7;12
"21018 CHAPADAS DO ALTO ITAPECURU";-;-;-;-;-;2;2;-;-;1;-;-;5;1;-;-;-;-;-;-;-;-;-;11
"21019 PORTO FRANCO";-;-;1;-;-;2;-;-;1;1;1;-;-;-;1;-;-;-;-;1;-;-;-;8
"21020 GERAIS DE BALSAS";-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;1;-;-;-;5
"21021 CHAPADAS DAS MANGABEIRAS";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3
"31001 UNAI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;-;-;2;7
"31002 PARACATU";-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;7
"31003 JANUARIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;3
"31004 JANAUBA";-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;2;1;-;-;-;-;-;-;7
"31005 SALINAS";-;-;-;-;-;-;-;-;-;4;-;-;1;-;-;1;-;-;-;-;-;-;-;6
"31006 PIRAPORA";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4
"31007 MONTES CLAROS";-;-;-;-;-;-;-;1;-;-;3;1;-;-;1;6;-;-;-;-;-;-;-;12
"31008 GRAO MOGOL";-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;3;8
"31009 BOCAIUVA";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"31010 DIAMANTINA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"31011 CAPELINHA";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"31012 ARACUAI";-;-;-;-;-;-;2;1;-;-;1;-;-;1;-;1;-;-;1;-;1;-;-;8
"31013 PEDRA AZUL";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"31014 ALMENARA";1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"31015 TEOFILO OTONI";-;-;-;1;-;1;-;-;-;2;1;2;-;-;-;1;2;-;2;-;-;-;-;12
"31016 NANUQUE";-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"31017 ITUIUTABA";5;-;-;1;1;1;-;1;-;-;1;-;-;2;1;-;-;1;-;-;-;-;-;14
"31018 UBERLANDIA";6;4;3;6;1;-;4;1;1;1;1;1;1;4;1;2;1;2;1;1;-;-;-;42
"31019 PATROCINIO";1;1;3;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;1;-;1;11
"31020 PATOS DE MINAS";-;-;-;-;-;1;-;-;1;-;1;-;1;2;3;1;2;1;-;1;2;-;2;18
