"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"23020 SERTAO DE INHAMUNS";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;1;1;-;-;-;6
"23021 SERTAO DE SENADOR POMPEU";-;-;2;-;-;1;-;-;1;1;-;1;-;1;-;-;2;1;1;1;1;1;1;15
"23022 LITORAL DE ARACATI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"23023 BAIXO JAGUARIBE";1;2;1;1;-;1;2;-;3;1;-;-;-;2;1;-;-;3;3;6;1;2;2;32
"23024 MEDIO JAGUARIBE";1;5;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;12
"23025 SERRA DO PEREIRO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23026 IGUATU";-;-;-;-;1;1;-;-;2;1;-;1;1;-;-;2;-;-;-;-;-;1;1;11
"23027 VARZEA ALEGRE";-;-;-;-;-;-;-;3;-;-;-;-;1;2;-;-;3;1;-;1;-;-;-;11
"23028 LAVRAS DA MANGABEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"23029 CHAPADA DO ARARIPE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3
"23030 CARIRIACU";-;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"23031 BARRO";3;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"23032 CARIRI";5;-;1;1;1;1;1;3;1;-;1;-;-;4;1;4;-;1;2;-;-;-;1;28
"23033 BREJO SANTO";1;1;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"Ignorado - CE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"53001 BRASILIA";2;2;6;2;4;5;6;6;5;3;5;9;6;7;7;1;9;5;8;6;5;10;2;121
"32001 BARRA DE SAO FRANCISCO";-;-;-;-;-;-;2;-;1;-;-;2;-;-;-;-;1;-;-;1;-;-;2;9
"32002 NOVA VENECIA";-;-;-;-;6;5;3;-;2;-;1;-;-;-;3;1;-;-;-;1;-;3;-;25
"32003 COLATINA";-;1;-;-;1;-;-;-;-;-;-;4;3;-;2;1;-;3;-;3;-;2;1;21
"32004 MONTANHA";-;-;-;1;-;3;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;8
"32005 SAO MATEUS";-;-;3;-;1;-;-;2;-;-;-;1;1;1;-;-;-;-;-;1;1;1;-;12
"32006 LINHARES";-;1;1;-;-;1;5;2;1;2;5;4;3;3;1;2;3;3;3;-;3;4;1;48
"32007 AFONSO CLAUDIO";1;-;1;-;-;2;2;3;3;2;1;1;1;1;2;1;2;10;4;3;1;2;2;45
"32008 SANTA TERESA";-;1;1;-;-;1;3;-;1;-;2;1;-;-;-;1;-;3;3;1;-;-;-;18
"32009 VITORIA";2;1;4;2;-;7;9;8;9;7;3;5;5;10;2;3;3;16;9;3;1;9;2;120
"32010 GUARAPARI";-;1;1;2;2;2;3;2;4;1;-;1;1;4;-;2;-;1;-;1;4;1;2;35
"32011 ALEGRE";2;-;-;-;1;1;-;4;-;-;-;3;1;1;1;-;-;2;-;-;-;1;-;17
"32012 CACHOEIRO DE ITAPEMIRIM";3;3;2;2;-;4;4;7;5;3;1;3;8;6;3;9;3;9;3;2;2;4;2;88
"32013 ITAPEMIRIM";-;1;-;1;-;-;5;-;2;-;1;-;1;1;1;1;-;-;-;2;-;-;1;17
