"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"25011 CARIRI ORIENTAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"25015 BREJO PARAIBANO";1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"25016 GUARABIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"25019 UMBUZEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"25022 JOAO PESSOA";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"26001 ARARIPINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"26003 PAJEU";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"26004 SERTAO DO MOXOTO";-;-;1;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;5
"26005 PETROLINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"26007 VALE DO IPANEMA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"26008 VALE DO IPOJUCA";1;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;6
"26009 ALTO CAPIBARIBE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;3
"26010 MEDIO CAPIBARIBE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"26011 GARANHUNS";-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;7
"26012 BREJO PERNAMBUCANO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"26013 MATA SETENTRIONAL PERNAMBUCANA";1;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"26015 MATA MERIDIONAL PERNAMBUCANA";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3
"26016 ITAMARACA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"26017 RECIFE";-;-;-;1;-;-;1;-;-;-;-;-;-;1;2;2;-;-;-;-;-;-;-;7
"26018 SUAPE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"22001 BAIXO PARNAIBA PIAUIENSE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"22002 LITORAL PIAUIENSE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;3
"22003 TERESINA";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"22005 MEDIO PARNAIBA PIAUIENSE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"22006 VALENCA DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"22013 PICOS";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"41001 PARANAVAI";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"41002 UMUARAMA";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"41003 CIANORTE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"41004 GOIOERE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"41005 CAMPO MOURAO";-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"41006 ASTORGA";-;1;-;1;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;6
"41007 PORECATU";-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;3;-;-;-;-;-;-;-;7
"41009 MARINGA";-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;4
"41011 LONDRINA";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;4
"41012 FAXINAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"41013 IVAIPORA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"41015 CORNELIO PROCOPIO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"41016 JACAREZINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"41017 IBAITI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"41018 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"41019 TELEMACO BORBA";-;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;-;-;-;-;-;6
"41020 JAGUARIAIVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"41021 PONTA GROSSA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"41022 TOLEDO";-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;4
