"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"21018 CHAPADAS DO ALTO ITAPECURU";6;5;10;2;2;6;8;6;10;10;7;10;11;10;4;4;8;4;1;5;2;9;14;154
"21019 PORTO FRANCO";2;5;10;1;6;7;4;7;12;18;26;25;15;12;11;7;11;12;1;6;8;8;4;218
"21020 GERAIS DE BALSAS";-;1;1;3;3;4;3;11;6;11;14;13;4;6;8;6;7;15;3;3;13;12;15;162
"21021 CHAPADAS DAS MANGABEIRAS";4;2;1;1;2;2;2;6;8;7;9;7;3;5;1;2;1;1;5;8;3;6;10;96
"Ignorado - MA";-;-;1;-;-;-;-;-;1;-;2;-;-;-;2;3;2;3;2;-;1;2;-;19
"31001 UNAI";6;4;7;13;16;8;12;16;8;15;11;16;1;6;7;4;6;10;5;2;6;6;3;188
"31002 PARACATU";5;8;25;16;34;33;22;30;34;40;28;28;37;13;14;8;7;9;5;3;1;12;3;415
"31003 JANUARIA";2;5;4;-;4;3;7;9;7;6;9;10;13;12;3;6;3;1;-;6;4;2;1;117
"31004 JANAUBA";1;5;3;5;2;8;3;5;5;2;2;4;3;1;4;-;5;4;5;1;4;4;1;77
"31005 SALINAS";5;3;3;1;2;1;-;1;4;3;4;3;3;3;4;5;1;1;8;5;-;5;3;68
"31006 PIRAPORA";2;1;4;3;3;2;2;7;6;5;4;1;3;2;4;1;-;-;2;2;3;8;13;78
"31007 MONTES CLAROS";12;20;33;18;13;12;19;45;29;19;14;10;8;1;5;5;2;5;17;13;9;9;9;327
"31008 GRAO MOGOL";-;-;-;2;-;-;1;1;2;1;-;-;-;-;-;-;-;1;1;1;-;-;-;10
"31009 BOCAIUVA";-;1;1;1;-;-;3;1;2;-;-;-;1;-;2;-;-;-;-;2;1;1;-;16
"31010 DIAMANTINA";2;5;6;4;5;5;1;4;3;-;5;3;2;-;-;2;-;1;-;5;8;3;3;67
"31011 CAPELINHA";2;6;3;4;3;14;9;11;6;6;8;5;2;-;3;-;1;1;5;3;4;5;4;105
"31012 ARACUAI";-;3;3;3;5;3;7;7;3;4;1;5;-;3;1;2;3;6;4;4;3;4;5;79
"31013 PEDRA AZUL";7;7;2;2;6;2;-;1;3;2;-;1;1;4;4;3;6;3;3;3;1;1;1;63
"31014 ALMENARA";-;4;2;1;6;1;1;3;4;4;3;3;4;6;2;6;3;3;5;3;4;8;6;82
"31015 TEOFILO OTONI";11;6;1;7;10;10;7;13;9;3;3;6;10;3;3;13;10;12;10;3;10;10;10;180
"31016 NANUQUE";1;5;1;2;1;6;7;2;3;5;2;1;3;2;3;8;4;7;5;5;16;5;5;99
"31017 ITUIUTABA";6;9;5;3;5;8;4;3;4;4;6;9;9;5;2;6;1;-;4;5;1;3;1;103
"31018 UBERLANDIA";57;70;66;73;48;94;50;48;53;41;82;83;99;69;63;28;9;7;12;14;14;16;20;1116
"31019 PATROCINIO";4;9;2;15;12;12;17;11;7;6;13;10;9;19;8;8;6;2;6;4;3;9;9;201
"31020 PATOS DE MINAS";4;20;38;27;27;40;31;25;34;31;33;23;22;11;24;10;5;1;7;4;6;5;3;431
"31021 FRUTAL";15;12;13;13;14;26;33;15;19;5;4;10;11;11;19;16;5;6;4;5;3;10;6;275
"31022 UBERABA";22;29;28;23;38;30;27;32;38;11;13;17;13;30;33;1;7;11;3;1;2;3;4;416
"31023 ARAXA";13;3;26;7;13;26;22;15;13;18;7;12;11;12;13;5;3;2;-;3;-;1;3;228
