"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"52001 SAO MIGUEL DO ARAGUAIA";2;3;1;4;3;6;2;12;16;7;10;5;7;15;14;10;9;9;12;11;9;16;13;196
"52002 RIO VERMELHO";1;3;2;6;3;7;9;4;6;6;6;4;11;11;12;7;6;6;8;9;4;9;3;143
"52003 ARAGARCAS";-;2;-;-;4;-;3;2;3;5;4;4;7;4;3;5;7;3;5;3;4;10;7;85
"52004 PORANGATU";9;3;11;11;21;15;11;28;18;20;33;16;31;27;37;30;34;25;33;25;25;30;32;525
"52005 CHAPADA DOS VEADEIROS";2;1;-;1;3;1;5;5;5;-;6;1;5;9;4;15;5;6;5;5;3;4;2;93
"52006 CERES";3;8;13;18;17;12;36;22;23;23;31;30;26;22;35;32;34;39;37;39;31;34;35;600
"52007 ANAPOLIS";15;16;23;24;19;31;31;34;52;34;46;59;43;53;44;39;48;34;42;42;32;34;39;834
"52008 IPORA";1;2;2;3;2;3;4;3;3;7;7;3;9;7;8;8;9;4;5;10;6;8;9;123
"52009 ANICUNS";5;3;4;4;6;6;2;2;13;8;10;7;5;9;9;12;8;11;7;7;6;7;16;167
"52010 GOIANIA";75;75;95;84;124;132;133;145;137;175;181;150;191;173;205;192;210;192;208;203;156;181;173;3590
"52011 VAO DO PARANA";1;2;2;3;10;3;6;4;5;2;2;6;7;15;16;8;6;9;7;13;13;10;17;167
"52012 ENTORNO DE BRASILIA";7;9;14;18;12;35;33;41;50;52;45;56;58;56;50;77;74;44;50;46;47;63;51;988
"52013 SUDOESTE DE GOIAS";13;27;17;11;14;18;24;20;29;28;38;39;45;36;46;45;53;44;51;50;43;42;71;804
"52014 VALE DO RIO DOS BOIS";4;2;4;2;8;7;10;15;12;9;11;6;12;9;15;13;12;11;20;21;14;16;14;247
"52015 MEIA PONTE";13;13;18;19;31;31;23;24;37;26;54;43;33;46;51;26;41;39;48;41;36;47;51;791
"52016 PIRES DO RIO";4;8;9;-;1;3;4;4;8;4;5;6;7;7;8;6;13;5;9;7;14;8;16;156
"52017 CATALAO";7;5;8;9;9;6;7;6;13;8;15;14;16;19;12;19;15;16;15;17;15;16;17;284
"52018 QUIRINOPOLIS";3;1;6;4;6;8;2;3;4;4;5;10;13;8;10;7;11;14;15;8;10;12;8;172
"Ignorado - GO";1;-;-;-;-;-;-;-;-;2;1;2;2;2;2;1;1;2;3;-;-;1;1;21
"21001 LITORAL OCIDENTAL MARANHENSE";-;-;2;5;4;6;2;9;10;12;13;14;14;19;27;20;21;18;22;16;12;18;13;277
"21002 AGLOMERACAO URBANA DE SAO LUIS";8;7;15;15;12;19;27;23;21;34;44;56;49;38;38;28;31;41;18;18;46;58;72;718
"21003 ROSARIO";-;1;2;5;2;5;6;5;9;6;6;8;12;14;15;14;16;11;20;10;12;16;10;205
"21004 LENCOIS MARANHENSES";-;-;4;1;3;4;4;2;5;3;3;13;14;14;14;9;28;20;12;5;19;19;20;216
"21005 BAIXADA MARANHENSE";3;4;15;6;6;11;10;18;41;36;42;48;58;48;78;82;78;58;60;49;52;39;47;889
"21006 ITAPECURU MIRIM";-;1;2;2;7;5;4;3;5;10;11;24;19;15;24;22;28;17;15;16;20;6;9;265
"21007 GURUPI";3;2;4;6;4;14;5;9;10;13;19;8;16;19;24;31;30;34;25;14;15;26;18;349
"21008 PINDARE";2;6;6;8;7;23;19;23;40;31;52;36;67;94;82;102;111;77;74;68;76;89;73;1166
"21009 IMPERATRIZ";2;8;13;15;13;22;28;21;9;13;11;33;90;78;92;97;92;89;86;57;68;81;70;1088
"21010 MEDIO MEARIM";7;7;10;13;12;27;27;22;33;24;44;47;62;56;49;42;57;47;52;53;45;59;45;840
"21011 ALTO MEARIM E GRAJAU";5;4;2;19;13;11;9;25;16;18;30;61;62;54;54;55;58;65;53;51;67;49;67;848
"21012 PRESIDENTE DUTRA";2;3;7;12;10;6;16;9;13;17;27;48;46;43;42;44;51;26;32;17;30;36;31;568
"21013 BAIXO PARNAIBA MARANHENSE";1;-;3;2;2;5;5;8;5;7;12;17;16;15;22;19;18;11;16;14;14;10;18;240
"21014 CHAPADINHA";3;2;1;3;3;13;13;9;19;17;20;19;22;15;41;39;35;25;17;17;15;26;23;397
"21015 CODO";3;7;4;5;11;15;9;18;13;19;19;30;40;31;51;45;61;29;33;31;36;38;34;582
"21016 COELHO NETO";1;-;4;1;-;2;3;6;9;9;8;5;7;10;14;15;14;11;11;6;9;9;4;158
"21017 CAXIAS";4;6;7;5;6;13;14;36;24;31;37;40;53;44;73;70;67;41;66;52;68;67;73;897
"21018 CHAPADAS DO ALTO ITAPECURU";2;1;-;3;8;13;6;27;13;26;25;48;54;43;56;49;54;40;48;43;55;43;32;689
"21019 PORTO FRANCO";2;1;5;2;8;5;5;5;6;9;6;11;14;17;26;25;24;17;23;22;21;13;26;293
"21020 GERAIS DE BALSAS";2;3;7;4;5;9;10;3;6;7;4;12;11;19;28;22;21;22;32;36;29;28;21;341
"21021 CHAPADAS DAS MANGABEIRAS";2;-;1;3;6;3;2;3;7;10;10;11;11;14;18;10;20;28;16;14;18;11;11;229
"Ignorado - MA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31001 UNAI";1;-;2;3;2;2;4;3;7;4;7;9;4;6;9;5;8;5;9;16;9;10;8;133
"31002 PARACATU";-;-;4;1;8;4;4;3;7;4;5;6;13;7;3;11;7;10;11;9;5;7;10;139
"31003 JANUARIA";1;-;-;6;5;5;4;9;9;13;10;14;12;16;13;18;15;17;9;14;5;16;19;230
"31004 JANAUBA";-;2;1;6;12;10;10;14;13;9;21;21;23;16;8;4;9;6;8;10;8;6;8;225
"31005 SALINAS";1;2;1;5;2;7;6;10;14;16;4;7;10;9;11;6;4;6;9;9;11;9;5;164
"31006 PIRAPORA";-;-;1;3;4;3;2;5;11;16;13;7;11;12;8;12;9;13;5;5;6;9;6;161
"31007 MONTES CLAROS";2;-;2;9;5;11;11;16;20;11;12;12;6;6;8;13;9;10;14;13;15;17;16;238
"31008 GRAO MOGOL";-;-;-;1;-;-;2;2;-;1;2;1;1;-;-;-;1;-;1;2;-;1;-;15
"31009 BOCAIUVA";-;-;2;1;1;2;3;2;-;-;-;4;1;-;2;-;-;1;2;7;4;1;2;35
"31010 DIAMANTINA";-;-;-;1;2;1;2;4;4;7;3;7;5;2;6;1;3;7;5;4;1;2;4;71
"31011 CAPELINHA";1;-;-;1;5;5;6;8;4;11;9;9;4;6;11;14;6;9;9;11;5;13;13;160
"31012 ARACUAI";-;2;1;1;6;2;2;7;4;9;16;9;15;19;14;17;7;9;10;7;8;8;10;183
"31013 PEDRA AZUL";-;-;1;2;2;-;1;5;2;1;2;8;8;5;8;7;4;3;9;3;6;5;-;82
"31014 ALMENARA";-;-;-;1;2;-;2;1;5;3;7;3;12;7;7;10;8;9;2;8;6;7;5;105
"31015 TEOFILO OTONI";-;3;5;2;10;7;11;14;19;23;20;26;21;26;22;30;21;18;21;12;8;17;13;349
"31016 NANUQUE";-;-;1;1;3;1;5;3;7;2;4;6;7;13;4;12;6;11;2;6;8;-;3;105
"31017 ITUIUTABA";3;-;2;3;6;4;5;2;2;3;6;6;6;11;15;13;14;6;9;7;8;8;11;150
"31018 UBERLANDIA";2;13;32;17;27;29;43;41;44;58;62;46;45;37;26;35;34;37;29;28;37;36;41;799
"31019 PATROCINIO";2;3;4;3;3;1;2;10;12;5;5;12;7;3;6;6;7;12;9;6;15;6;10;149
"31020 PATOS DE MINAS";2;1;5;2;4;6;9;9;13;4;10;17;13;8;17;19;13;19;15;14;22;19;20;261
"31021 FRUTAL";5;6;1;5;-;3;6;4;5;6;4;3;5;8;7;7;6;11;10;6;5;4;5;122
"31022 UBERABA";7;5;3;4;8;8;18;16;25;24;23;18;22;8;12;13;15;13;15;14;14;14;5;304
"31023 ARAXA";1;3;3;3;3;3;8;7;9;12;4;9;6;6;6;7;8;12;2;9;8;10;5;144
"31024 TRES MARIAS";-;1;1;2;2;2;2;5;3;6;6;3;4;4;6;3;2;5;9;3;1;7;5;82
"31025 CURVELO";-;-;2;1;4;4;5;4;6;6;4;9;5;7;9;4;7;9;8;6;7;8;5;120
"31026 BOM DESPACHO";2;2;3;2;3;4;9;4;5;7;1;9;5;5;10;6;6;3;3;10;4;3;5;111
"31027 SETE LAGOAS";-;-;3;3;5;3;7;8;9;8;17;16;28;27;27;18;26;16;19;23;17;24;20;324
"31028 CONCEICAO DO MATO DENTRO";-;-;-;1;1;2;-;-;1;2;-;4;3;2;3;4;4;4;1;3;2;2;2;41
"31029 PARA DE MINAS";-;2;5;6;9;6;2;4;4;7;13;14;6;9;12;12;12;13;11;10;10;12;8;187
"31030 BELO HORIZONTE";47;53;75;57;72;81;104;119;180;117;159;169;158;167;174;145;123;104;131;101;118;99;126;2679
"31031 ITABIRA";-;1;3;4;8;1;9;9;3;16;10;10;3;18;16;19;18;11;10;9;6;19;10;213
"31032 ITAGUARA";-;1;-;4;1;-;2;1;3;4;3;2;2;-;3;1;1;3;3;2;4;4;2;46
"31033 OURO PRETO";3;1;-;-;2;2;1;2;2;10;3;6;7;5;4;2;6;7;6;5;4;2;6;86
"31034 CONSELHEIRO LAFAIETE";-;-;5;4;4;5;2;5;6;3;13;4;3;8;10;10;5;5;5;9;5;11;6;128
"31035 GUANHAES";1;4;2;-;1;1;3;7;3;7;9;9;6;6;9;16;17;9;17;15;9;5;10;166
"31036 PECANHA";-;-;1;2;-;1;3;2;4;3;6;5;4;8;8;4;12;7;9;5;8;3;4;99
"31037 GOVERNADOR VALADARES";2;3;5;13;25;24;9;28;29;18;3;16;25;24;30;35;32;34;28;35;40;35;33;526
"31038 MANTENA";-;1;3;2;2;6;2;2;7;4;3;3;2;3;10;5;9;7;7;6;3;10;3;100
"31039 IPATINGA";3;1;6;8;18;11;11;5;11;15;20;7;16;20;11;16;13;24;22;24;27;20;32;341
"31040 CARATINGA";3;2;2;4;3;5;11;4;4;7;12;23;12;11;12;23;23;33;23;11;28;28;22;306
"31041 AIMORES";-;2;3;2;7;4;4;10;9;7;6;14;8;11;18;15;15;24;15;10;12;14;10;220
"31042 PIUI";-;3;1;3;-;1;-;-;1;4;9;6;7;1;6;1;4;3;2;2;1;11;1;67
"31043 DIVINOPOLIS";5;9;4;13;14;18;20;20;15;13;23;30;21;24;21;32;12;28;22;24;16;15;16;415
"31044 FORMIGA";2;3;2;-;2;3;2;4;2;7;3;3;8;5;8;3;7;7;6;8;7;5;10;107
"31045 CAMPO BELO";-;1;-;-;2;2;1;3;5;6;5;3;5;2;7;4;2;4;5;3;2;4;4;70
"31046 OLIVEIRA";-;1;1;3;1;2;-;5;5;4;5;8;8;9;8;3;2;5;5;7;1;1;5;89
"31047 PASSOS";-;6;8;2;4;7;8;8;9;14;12;11;13;6;12;3;9;13;6;7;10;5;1;174
"31048 SAO SEBASTIAO DO PARAISO";2;5;10;4;2;10;3;7;6;5;7;9;12;10;15;14;9;13;7;11;15;23;21;220
"31049 ALFENAS";4;2;2;5;4;2;7;7;8;13;7;7;7;11;17;8;8;15;4;17;10;10;9;184
"31050 VARGINHA";2;1;4;6;6;6;8;3;6;7;16;18;14;5;9;10;16;15;14;22;16;10;19;233
"31051 POCOS DE CALDAS";4;-;2;4;4;2;6;5;4;2;2;13;12;8;11;12;4;8;8;13;9;18;17;168
"31052 POUSO ALEGRE";1;2;1;3;2;1;3;5;8;6;10;9;9;7;9;6;8;6;11;13;9;13;15;157
"31053 SANTA RITA DO SAPUCAI";1;-;-;-;1;-;2;-;3;-;2;7;4;4;5;4;1;3;3;3;6;4;7;60
"31054 SAO LOURENCO";2;1;1;2;-;5;1;4;7;5;6;12;7;19;8;5;10;11;12;12;10;11;8;159
"31055 ANDRELANDIA";-;2;1;1;1;-;1;-;-;1;2;2;4;5;2;4;3;2;-;6;1;4;1;43
