"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31014 ALMENARA";1;-;1;1;1;-;2;1;3;1;6;3;4;9;-;4;2;3;1;1;2;2;-;48
"31015 TEOFILO OTONI";2;8;12;17;11;24;12;13;10;12;17;22;15;12;18;13;23;8;14;8;7;6;6;290
"31016 NANUQUE";-;4;2;4;5;1;7;2;3;8;6;8;9;7;4;4;3;1;1;3;2;1;1;86
"31017 ITUIUTABA";4;8;1;5;8;6;3;5;2;5;9;3;6;5;3;4;6;6;6;2;4;1;2;104
"31018 UBERLANDIA";14;20;30;28;36;40;33;46;42;32;28;31;19;27;22;25;24;23;28;18;20;32;27;645
"31019 PATROCINIO";7;4;9;8;12;12;8;19;17;6;8;6;5;7;4;4;2;5;5;9;5;3;6;171
"31020 PATOS DE MINAS";-;5;7;4;7;6;4;7;7;4;17;6;3;11;6;5;5;6;10;6;3;5;7;141
"31021 FRUTAL";7;6;4;5;3;11;1;15;7;4;7;3;-;3;5;8;-;2;5;2;2;6;3;109
"31022 UBERABA";11;13;13;12;25;15;14;17;16;14;16;13;20;3;3;8;12;10;9;15;11;7;11;288
"31023 ARAXA";2;5;5;9;8;7;9;6;9;5;9;7;5;6;7;7;1;5;7;3;5;5;6;138
"31024 TRES MARIAS";-;-;1;1;5;4;1;2;5;2;8;1;4;2;3;3;2;3;2;2;1;-;2;54
"31025 CURVELO";-;1;2;4;10;8;5;3;7;3;8;8;7;7;10;9;9;5;4;3;5;12;5;135
"31026 BOM DESPACHO";8;6;8;7;9;6;5;7;12;6;4;8;5;6;7;4;1;3;2;2;-;2;1;119
"31027 SETE LAGOAS";-;4;7;9;8;7;9;7;4;9;16;13;14;19;21;13;18;8;17;8;8;20;12;251
"31028 CONCEICAO DO MATO DENTRO";-;-;2;2;1;2;-;2;1;1;2;1;2;3;2;-;1;2;2;-;4;2;-;32
"31029 PARA DE MINAS";4;5;7;3;4;10;1;4;1;1;8;6;3;2;4;5;2;3;5;5;5;5;2;95
"31030 BELO HORIZONTE";295;279;289;260;280;278;306;292;283;265;287;247;241;189;204;175;159;162;132;141;120;139;122;5145
"31031 ITABIRA";6;19;13;9;13;13;12;13;8;5;11;13;10;19;11;14;15;12;12;7;6;5;4;250
"31032 ITAGUARA";2;3;1;3;4;6;11;4;6;4;2;3;3;2;4;2;2;4;1;4;-;2;1;74
"31033 OURO PRETO";3;4;-;5;2;3;4;2;6;4;3;2;4;3;2;3;1;1;4;5;1;2;2;66
"31034 CONSELHEIRO LAFAIETE";13;11;19;10;17;9;12;13;13;16;10;13;8;12;7;8;6;6;8;9;4;7;9;240
"31035 GUANHAES";5;2;2;5;3;2;1;3;4;4;6;1;3;4;4;4;5;3;3;2;1;1;-;68
"31036 PECANHA";1;-;3;3;1;-;4;1;-;1;-;-;1;1;1;1;3;4;2;-;1;-;-;28
"31037 GOVERNADOR VALADARES";17;12;10;21;15;21;23;25;25;18;16;20;24;16;22;19;14;20;11;17;10;8;12;396
"31038 MANTENA";2;1;2;2;3;1;6;-;4;3;3;2;1;1;2;-;4;1;1;1;1;1;3;45
"31039 IPATINGA";15;10;7;11;9;8;5;-;13;9;9;19;7;9;11;23;19;19;12;19;11;11;16;272
"31040 CARATINGA";4;-;11;5;6;3;8;-;4;10;6;4;6;3;12;10;8;4;12;10;8;5;8;147
"31041 AIMORES";3;2;5;3;4;2;2;7;3;3;2;5;4;4;5;4;-;5;3;4;2;5;8;85
"31042 PIUI";-;2;1;5;1;3;2;2;5;2;1;3;3;4;-;1;1;2;3;3;2;2;2;50
"31043 DIVINOPOLIS";26;28;17;23;28;21;18;25;32;20;20;15;12;13;24;12;11;18;14;8;16;10;12;423
"31044 FORMIGA";5;9;7;3;4;10;6;4;7;12;6;2;8;3;2;4;4;6;6;7;4;6;8;133
"31045 CAMPO BELO";5;5;3;6;5;5;5;3;5;7;8;4;1;3;3;2;2;1;2;3;3;3;4;88
"31046 OLIVEIRA";4;5;9;5;5;7;8;4;13;14;6;6;7;7;4;2;5;6;2;5;7;4;3;138
"31047 PASSOS";1;3;12;2;3;10;11;6;3;3;5;5;6;7;6;3;4;7;6;2;9;11;5;130
"31048 SAO SEBASTIAO DO PARAISO";11;6;6;6;14;10;3;7;2;5;8;4;11;5;8;12;8;6;11;4;3;7;5;162
"31049 ALFENAS";2;5;5;8;11;2;11;8;5;9;6;10;6;4;10;1;5;7;4;4;3;8;4;138
"31050 VARGINHA";11;9;14;20;23;17;29;20;17;16;16;16;9;16;10;10;15;19;10;13;11;7;9;337
"31051 POCOS DE CALDAS";3;3;6;3;10;5;4;-;4;12;5;17;7;8;6;5;7;6;8;9;7;8;4;147
"31052 POUSO ALEGRE";11;7;12;8;6;8;24;15;6;12;7;11;14;11;10;9;5;9;12;12;8;11;11;239
"31053 SANTA RITA DO SAPUCAI";4;6;3;5;4;9;4;6;5;3;3;1;4;2;2;2;2;1;2;4;6;4;3;85
"31054 SAO LOURENCO";1;9;9;14;13;7;13;10;8;6;5;5;12;6;5;5;9;8;5;3;3;6;3;165
"31055 ANDRELANDIA";-;2;4;2;3;2;-;3;-;1;3;-;1;1;2;1;-;-;1;1;1;-;1;29
"31056 ITAJUBA";2;3;4;1;4;6;15;17;9;20;9;9;8;8;3;9;4;10;5;9;5;9;6;175
"31057 LAVRAS";2;5;5;4;9;7;7;4;4;7;6;8;1;3;3;3;6;2;5;5;2;7;1;106
"31058 SAO JOAO DEL REI";1;4;7;2;1;11;5;5;13;4;12;12;5;8;6;8;3;1;4;2;1;2;3;120
